ISO,1998,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010
ALB,,,4.5,,,,,,,,
AUS,,,,4,,,,,,,
AZE,,,,,,,9.7,,,,
BGD,,,,,,,,18.4,,,
BOL,,,,,,,,,23.1,,
KHM,,,,,,7.9,,,,,
CRI,,,,7,,,,,,,
CZE,,,,8,,,,,,,
DNK,,,,1,,,,,,,
DOM,,,,,,,,10.9,,,
ECU,,,,,10,,,,,,
EGY,,,,,,18.2,,,,,
SLV,,,,,,,,,6.8,,
FIN,,,,,,6.3,,,,,
FRA,,,2.5,,,,,,,,
GEO,,,,,,1.6,,,,,
GHA,,,,,,,,,18,,
GTM,,,8.6,,,,,,,,
HTI,,,,,,,11.5,,,,
HND,,,,,,,6.3,,,,
IND,,,,,,,21.4,,,,
IRL,,,,1.4,,,,,,,
ITA,,,,,,,1.7,,,,
JOR,,,,,,,,12.2,,,
KEN,,,,31.3,,,,,,,
KIR,,,,,,,,,32.4,,
LBR,,,,,,,,33,,,
MWI,,,,,12.4,,,,,,
MDV,,,,,,,5.7,,,,
MOZ,,,,,15,,,,,,
NIC,,,,,,,8,,,,
NGA,,,,,,,,,14.2,,
PRY,,,,,6.6,,,,,,
PER,,,,,,,,,,11.2,
PHL,,,,,,,,,7.5,,
POL,,,,,3,,,,,,
KOR,,,,,,,,7.7,,,
MDA,,,,,,14.1,,,,,
WSM,,17.9,,,,,,,,,
STP,,,,,,,,,,26.5,
ZAF,6.3,,,,,,,,,,
SWE,,4,,,,,,,,,
CHE,,,,1,,,,,,,
TLS,,,,,,,,,,,30.7
TUR,,,,,,,,,,9.9,
UGA,,,,,,,34.9,,,,
UKR,,,,,,,,10.4,,,
GBR,,,,,,2.7,,,,,
USA,,1.3,,,,,,,,,
VNM,,,,,,,,,,6,
ZMB,,,,,,,,39.6,,,
ZWE,,,,,,,25.3,,,,
ASA,,1.3,,,,,,,,,
ASE,,,,,,,13.55,,,,
NAN,,1.3,,,,,,,,,
SAM,,,,,,,5.7,,,,
NAE,,1.17245,,,,,,,,,
SAE,,,,,,,15.9688,,,,
# Series: IPVPTWCP,,,,,,,,,,,
"# Name: Intimate partner violence, physical, % women who experienced in the last 12 months",,,,,,,,,,,
# Definition: Country-specific data on % of women who are victims of intimate partner physicalviolence in the last 12 months.,,,,,,,,,,,
"# Source: UN Women - from DHS, WHO Multi-country study, International Violence Against Women Surveys",,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,
