ISO,2009,2010,2011,2012
AUT,,,5,4.5
BEL,,,7.2,8.1
BGR,,,6.3,6.1
KHM,0.5,0.5,0.6,
HRV,,,4.3,4.1
CYP,,,3.9,3.9
CZE,,,4.7,5.1
DNK,,,2.7,1.9
EST,,,9,9
FIN,,,5.2,3.7
FRA,,,7.4,7.4
DEU,,,4.9,4.4
GRC,,,4.2,4.4
HUN,,,5.7,4.9
ISL,,,9,10.1
IRL,,,7.4,7.9
ITA,,,3.9,3.7
LVA,,,10.1,9.1
LTU,,,9.2,9
LUX,,,4.2,2.8
MKD,,,5.8,5.3
MLT,,,8.6,9.3
NLD,,,7.3,6.9
NOR,,,6.5,6.6
POL,,,6.1,6.2
PRT,,,6.2,6.5
ROU,,,2.1,2.2
SGP,,,,17
SVK,,,5.3,4.3
SVN,,,8.3,7.9
ESP,,,5,5
SWE,,,5.3,5.7
CHE,,,7.8,8.2
TUR,,,,6.1
GBR,,,10.2,10.4
ACE,,,,5.98125
ECM,,,,5.7
ECE,,,,3.95689
# Series: SEOTO15A,,,,
"# Name: Share employed by occupation, 1A - Managers, Total",,,,
# Definition: Share of men and women that are Managers.,,,,
# Source: International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),,,,
# Data from the No Ceilings project: http://noceilings.org,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,
