ISO,2009,2010,2011,2012,2013
ALB,0,0,0,0,0
ARG,2,1,2,2,1
AUS,8,13,10,5,4
AUT,3,0,0,0,0
BGD,21,139,216,191,181
BEL,0,0,0,0,0
BEN,8,9,8,5,13
BIH,5,4,4,5,12
BRA,0,2,2,4,3
BFA,6,11,24,38,40
BDI,5,1,13,11,10
CMR,11,42,43,11,27
CAN,11,17,17,17,10
CAF,2,10,10,3,0
TCD,4,7,12,6,9
CHL,0,3,2,4,2
CHN,18,2,0,0,10
COL,0,2,5,2,1
CIV,13,21,24,21,21
HRV,1,1,1,3,2
CZE,0,1,1,0,0
COD,0,2,3,2,1
DJI,0,1,2,4,5
EGY,0,0,0,0,0
SLV,8,11,5,1,0
ETH,2,2,0,1,1
FJI,0,5,5,10,1
FIN,0,0,0,0,0
FRA,6,7,2,1,5
GMB,18,60,53,16,41
DEU,1,0,0,0,1
GHA,65,112,97,33,85
GRD,0,0,0,0,0
GIN,3,4,4,8,13
GNB,0,2,0,0,0
HUN,0,0,0,0,0
ISL,1,0,0,0,0
IND,116,110,110,114,114
IDN,1,2,4,9,1
IRL,5,4,4,2,2
ITA,0,0,0,0,1
JAM,9,12,8,5,7
JOR,2,5,7,12,3
KAZ,0,0,0,0,0
KEN,6,6,8,5,15
KGZ,3,1,1,0,0
LBY,0,0,0,0,0
LTU,0,0,0,0,0
MDG,0,2,6,7,7
MWI,6,6,1,19,19
MYS,0,0,18,0,0
MLI,2,6,5,2,5
MNE,0,0,0,0,0
NAM,7,37,40,3,19
NPL,32,46,42,34,59
NLD,5,3,0,6,4
NZL,6,0,2,0,0
NER,6,10,22,28,17
NGA,143,148,149,58,98
NOR,6,11,9,11,14
PAK,9,31,8,24,11
PLW,1,1,0,1,1
PHL,25,42,46,10,7
POL,0,0,0,0,0
PRT,8,1,3,0,0
KOR,0,0,1,0,0
ROU,11,8,3,3,3
RUS,3,3,3,1,3
RWA,9,121,114,149,162
WSM,0,4,2,3,6
SEN,1,3,10,26,27
SRB,2,1,2,0,1
SLE,11,51,79,74,46
SGP,1,6,3,0,0
SVK,0,0,0,0,1
SVN,0,0,0,0,0
ZAF,45,42,12,20,27
ESP,5,4,6,1,0
LKA,5,3,5,5,4
SWE,10,8,10,19,16
CHE,0,0,1,1,1
TJK,3,3,2,3,3
TZA,3,38,45,70,29
THA,5,16,9,5,9
TGO,0,1,1,3,6
TUN,0,0,0,6,7
TUR,2,6,6,8,10
UGA,41,30,5,5,13
UKR,3,5,7,4,8
GBR,0,0,0,0,0
USA,7,5,14,14,8
URY,2,1,2,2,1
VUT,4,0,0,0,1
YEM,0,0,0,0,0
ZMB,36,21,24,15,9
ZWE,16,24,32,27,24
EAZ,69,91,100,43,40
ECZ,83,71,65,68,87
GLS,845,1380,1456,1218,1328
HIS,89,88,91,87,75
LIS,207,592,706,707,714
LMS,440,556,536,338,424
NAS,18,22,31,31,18
SAZ,183,329,381,368,369
SSS,469,829,844,666,784
UMS,109,144,123,86,115
# Series: UNNPCFEW,,,,,
"# Name: UN peacekeepers, number of police, female",,,,,
"# Definition: UN Peacekeeping, Number of police office (formed police units and individual police)",,,,,
# Source: UN Peacekeeping,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,
